Terms,Value
Bank,MCB
FinancialYear,2020
Cash Dividends,23701
Breakup value per share,162.85
Cash dividend per share,20
Dividend Payout ratio,0.8162
Dividend Yield ratio (based on cash dividend),0.1079
High - during the year,224.53
Low - during the year,132.89
Market Capitalisation,219568
Market value per share - Dec 31,185.28
Deferred tax assets,2783
Intangible assets,938
Other assets - net,56334
Shareholder's equity,162382
Advances - net of provisions,462942
Total  Investments,1034874411
Deposits and other accounts,72039661
Earnings per share (after tax),24.5
Earnings per share (before tax),40.71
Net mark-up / interest income,75843439
Mark-up / return / interest earned 26,145772451
Mark-up / return / interest expensed 27,69929012
Total non-markup / interest Income,19268527
Total Income,3467209
Current & Saving Deposits (CASA),1198785
Savings deposits,2462010
Savings deposits,1634
Term deposits,3526500
Term deposits,–
Current deposits,148391
Current deposits,138
Imports - volume,577281
Exports - volume,332396
No. of accounts,8217065
No. of branches,1429
No. of permanent employees,13643
No. of ATMs,1434
No. of Debit cards/smart cards issued during the year,577406
No. of customers Internet Banking,198939
No. of customers Mobile Banking,1396475
No. of customers  Credit Cards,84542
No. of transactions Internet Banking,691553
Volume of transactions Internet Banking,29200
Volume of transactions Mobile Banking,78674
No. of transactions Mobile Banking,2793156
No. of new issuance,13944
Total spend (transaction volume),8327
No. of Loans disbursed Auto Loan,5549
No. of Loans disbursed Home Loan,67
No. of Loans disbursed Personal Loan,1764
Outstanding Volume Auto Loan,19777
Outstanding Volume Home Loan,4733
Outstanding Volume Personal Loan,1912
No. of customers Bancassurance,232035
No. of new customers Bancassurance,35402
No. of policies Bancassurance,35791
Bancassurance Premium Bancassurance,9654
